id,title,author,description,link,date,tags/0,tags/1,publisher,imprint,image
1,Don’t Make Me Think (Revisited),Steve Krug,"Since Don’t Make Me Think was first published in 2000, hundreds of thousands of Web designers and developers have relied on usability guru Steve Krug's guide to help them understand the principles of intuitive navigation and information design.",http://amzn.to/2hm1FRV,2013,UX design,Usability,New Riders,Voices That Matter,dont-make-me-think.jpg
2,"The Design of Everyday Things, revised and expanded edition",Donald A. Norman,"Even the smartest among us can feel inept as we try to figure out the
shower control in a hotel or attempt to navigate an unfamiliar television set
or stove. When The Design of Everyday Things was published in 1988, cognitive
scientist Don Norman provocatively proposed that the fault lies not in ourselves,
but in design that ignores the needs and psychology of people.",http://amzn.to/2hhYn0x,2013,Usability,,MIT Press,,design-of-everyday-things.jpg
3,About Face: The Essentials of Interaction Design,"Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel",,http://amzn.to/2hB1CO8,2014,Interaction design,,John Wiley & Sons,,about-face.jpg
4,100 Things Every Designer Needs to Know About People,Susan Weinschenk,"We design to elicit responses from people. We want them to buy something,
read more, or take action of some kind. Designing without understanding what makes
people act the way they do is like exploring a new city without a map: results
will be haphazard, confusing, and inefficient. This book combines real science
and research with practical examples to deliver a guide every designer needs.",http://amzn.to/2hbKfTp,2011,UX design,Psychology,New Riders,Voices That Matter,51WypjNOT9L._SX359_BO1%2C204%2C203%2C200_.jpg
5,Usable Usability: Simple Steps for Making Things Better,Eric Reiss,"Frustrated by pop-ups? Forms that make you start over if you miss a
field? Nonsensical error messages? You're not alone! This book helps you simply
get it right the first time (or fix what's broken).",http://amzn.to/2i4AGtW,2012,Usability,UX design,John Wiley & Sons,,413wc0E4vSL._SX399_BO1%2C204%2C203%2C200_.jpg
6,Seductive Interaction Design,Stephen P. Andserson,"What happens when you've built a great website or app, but no one seems
to care? How do you get people to stick around long enough to see how your service
might be of value?",http://amzn.to/2i2koiQ,2011,UX design,Interaction design,New Riders,Voices That Matter,41OWZLK2m7L._SX439_BO1%2C204%2C203%2C200_.jpg
7,Lean UX - Applying Lean Principles to Improve User Experience,Jeff Gothelf,"The Lean UX approach to interaction design is tailor-made for today's
web-driven reality. In this insightful book, leading advocate Jeff Gothelf teaches
you valuable Lean UX principles, tactics, and techniques from the ground upâ€”how
to rapidly experiment with design ideas, validate them with real users, and continually
adjust your design based on what you learn.",http://amzn.to/2i2w1Gm,2013,UX design,,O'Reilly Media,,41JWTd4PCWL._SX331_BO1%2C204%2C203%2C200_.jpg
8,Sketching User Experiences - The Workbook,"Saul Greenberg, Sheelagh Carpendale, Nicolai Marquardt, Bill Buxton","Sketching Working Experience: The Workbook provides information about
the step-by-step process of the different sketching techniques. It offers methods
called design thinking, as a way to think as a user, and sketching, a way to think
as a designer.",http://amzn.to/2hBheRP,2011,UX design,,Morgan Kaufmann,,514evMquYmL._SX389_BO1%2C204%2C203%2C200_.jpg
9,The User Experience Team of One,Leah Buley,"The User Experience Team of One prescribes a range of approaches that have big impact and take less time and fewer resources than the standard lineup of UX deliverables. Whether you want to cross over into user experience or you're a seasoned practitioner trying to drag your organization forward, this book gives you tools and insight for doing more with less.",http://amzn.to/2hmao6V,2013,UX design,,Rosenfeld Media,,51Gi2PHugFL._SX331_BO1%2C204%2C203%2C200_.jpg
10,Making it Right - Product Management for a Startup World,Rian van Der Merwe,"Read this if... you want a thorough overview of the theory and practice of product management, with an emphasis on startups.",https://amzn.to/2tdW83a,,,,,,making.jpg
11,Product Leadership - How Top Product Managers Launch Awesome Products and Build Successful Teams,,Read this if... you are or want to become a product leader in your organisation. Its full of advice on building your own team and working with other to realise your product vision.,https://amzn.to/2liqSfz,,,,,,product-leadership.png
12,Strategise - Product Strategy and Product Roadmap Practices for the Digital Age,Roman Pilcher,Read this if... you want an introduction to innovation theory and how to be sure that you're building the right product for the right audience.,https://amzn.to/2HW69aq,,,,,,strategise.png
13,Jobs to be Done - A Roadmap for Customer Centered Innovation,,"Read this if... you want to understand jobs to be done, a model to explore your customers' needs, why they choose one product over another and discover who your true competitors are.",https://amzn.to/2lcJD4d,,,,,,jtbd.png
14,The LEAN Product Playbook,Dan Olsen,Read this if... you want to understand the LEAN approach to product management.,https://amzn.to/2lcJD4d,,,,,,lean.png
15,Designing Products People Love - How Great Designers Create Successful Products,Scott Hurff,Read this if... you want to understand the history of product design and get a practical overview of the product process.,https://amzn.to/2HXlJCJ,,,,,,dppl.png